 PATH                                                                                                                                                                     | SIZE      | CREATED    | MODIFIED   | PLEN | FLEN 
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------+------------+------------+------+------
 /home/simon/privkey.pem                                                                                                                                                  | 241       | 1749117303 | 1749117303 | 23   | 11   
 /home/simon/CA.pem                                                                                                                                                       | 2009      | 1748865614 | 1748865614 | 18   | 6    
 /home/simon/Pictures/M+S.jpg                                                                                                                                             | 2272253   | 1750539053 | 1750539053 | 28   | 7    
 /home/simon/projects/esp32/lib/python3.13/site-packages/pip-25.0.1.dist-info/AUTHORS.txt                                                                                 | 11018     | 1749664739 | 1749664739 | 88   | 11   
 /home/simon/projects/esp32/lib/python3.13/site-packages/pip-25.0.1.dist-info/entry_points.txt                                                                            | 87        | 1749664739 | 1749664739 | 93   | 16   
 /home/simon/projects/esp32/lib/python3.13/site-packages/pip-25.0.1.dist-info/WHEEL                                                                                       | 91        | 1749664739 | 1749664739 | 82   | 5    
 /home/simon/projects/esp32/lib/python3.13/site-packages/pip-25.0.1.dist-info/METADATA                                                                                    | 3677      | 1749664739 | 1749664739 | 85   | 8    
 /home/simon/projects/esp32/lib/python3.13/site-packages/pip-25.0.1.dist-info/RECORD                                                                                      | 65716     | 1749664740 | 1749664740 | 83   | 6    
 /home/simon/projects/esp32/lib/python3.13/site-packages/pip-25.0.1.dist-info/REQUESTED                                                                                   | 0         | 1749664740 | 1749664740 | 86   | 9    
 /home/simon/projects/esp32/lib/python3.13/site-packages/pip-25.0.1.dist-info/top_level.txt                                                                               | 4         | 1749664739 | 1749664739 | 90   | 13   
 /home/simon/projects/esp32/lib/python3.13/site-packages/pip-25.0.1.dist-info/LICENSE.txt                                                                                 | 1093      | 1749664739 | 1749664739 | 88   | 11   
 /home/simon/projects/esp32/lib/python3.13/site-packages/pip-25.0.1.dist-info/INSTALLER                                                                                   | 4         | 1749664740 | 1749664740 | 86   | 9    
 /home/simon/projects/esp32/lib/python3.13/site-packages/rshell/__init__.py                                                                                               | 0         | 1749664750 | 1749664750 | 74   | 11   
 /home/simon/projects/esp32/lib/python3.13/site-packages/rshell/getch.py                                                                                                  | 3120      | 1749664750 | 1749664750 | 71   | 8    
 /home/simon/projects/esp32/lib/python3.13/site-packages/rshell/main.py                                                                                                   | 111692    | 1749664750 | 1749664750 | 70   | 7    
 /home/simon/projects/esp32/lib/python3.13/site-packages/rshell/test.py                                                                                                   | 955       | 1749664750 | 1749664750 | 70   | 7    
 /home/simon/projects/esp32/lib/python3.13/site-packages/rshell/command_line.py                                                                                           | 55        | 1749664750 | 1749664750 | 78   | 15   
 /home/simon/projects/esp32/lib/python3.13/site-packages/rshell/dfutils.py                                                                                                | 5580      | 1749664750 | 1749664750 | 73   | 10   
 /home/simon/projects/esp32/lib/python3.13/site-packages/rshell/version.py                                                                                                | 23        | 1749664750 | 1749664750 | 73   | 10   
 /home/simon/projects/esp32/lib/python3.13/site-packages/rshell/__pycache__/dfutils.cpython-313.pyc                                                                       | 10370     | 1749664750 | 1749664750 | 98   | 23   
 /home/simon/projects/esp32/lib/python3.13/site-packages/rshell/__pycache__/main.cpython-313.pyc                                                                          | 129616    | 1749664750 | 1749664750 | 95   | 20   
 /home/simon/projects/esp32/lib/python3.13/site-packages/rshell/__pycache__/pyboard.cpython-313.pyc                                                                       | 17777     | 1749664750 | 1749664750 | 98   | 23   
 /home/simon/projects/esp32/lib/python3.13/site-packages/rshell/__pycache__/command_line.cpython-313.pyc                                                                  | 388       | 1749664750 | 1749664750 | 103  | 28   
 /home/simon/projects/esp32/lib/python3.13/site-packages/rshell/__pycache__/getch.cpython-313.pyc                                                                         | 4319      | 1749664750 | 1749664750 | 96   | 21   
 /home/simon/projects/esp32/lib/python3.13/site-packages/rshell/__pycache__/test.cpython-313.pyc                                                                          | 1470      | 1749664750 | 1749664750 | 95   | 20   
 /home/simon/projects/esp32/lib/python3.13/site-packages/rshell/__pycache__/version.cpython-313.pyc                                                                       | 197       | 1749664750 | 1749664750 | 98   | 23   
 /home/simon/projects/esp32/lib/python3.13/site-packages/rshell/__pycache__/__init__.cpython-313.pyc                                                                      | 171       | 1749664750 | 1749664750 | 99   | 24   
 /home/simon/projects/esp32/lib/python3.13/site-packages/rshell/pyboard.py                                                                                                | 11862     | 1749664750 | 1749664750 | 73   | 10   
 /home/simon/projects/esp32/lib/python3.13/site-packages/tests/hello.py                                                                                                   | 21        | 1749664750 | 1749664750 | 70   | 8    
 /home/simon/projects/esp32/lib/python3.13/site-packages/tests/make_all_bytes.py                                                                                          | 257       | 1749664750 | 1749664750 | 79   | 17   
 /home/simon/projects/esp32/lib/python3.13/site-packages/tests/tree_cmp.py                                                                                                | 968       | 1749664750 | 1749664750 | 73   | 11   
 /home/simon/projects/esp32/lib/python3.13/site-packages/tests/__pycache__/tree_cmp.cpython-313.pyc                                                                       | 1963      | 1749664750 | 1749664750 | 98   | 24   
